,Unnamed: 0,Periodo,TV,radio,newspaper,sales
0,1,Ene-13,230.1,37.8,69.2,22100
1,2,Feb-13,44.5,39.3,45.1,10400
2,3,Mar-13,17.2,45.9,69.3,9300
3,4,Abr-13,151.5,41.3,58.5,18500
4,5,May-13,180.8,10.8,58.4,12900
5,6,Jun-13,8.7,48.9,75.0,7200
6,7,Jul-13,57.5,32.8,23.5,11800
7,8,Ago-13,120.2,19.6,11.6,13200
8,9,Set-13,8.6,2.1,1.0,4800
9,10,Oct-13,199.8,2.6,21.2,10600
10,11,Nov-13,66.1,5.8,24.2,8600
11,12,Dic-13,214.7,24.0,4.0,17400
12,13,Ene-14,23.8,35.1,65.9,9200
13,14,Feb-14,97.5,7.6,7.2,9700
14,15,Mar-14,204.1,32.9,46.0,19000
15,16,Abr-14,195.4,47.7,52.9,22400
16,17,May-14,67.8,36.6,114.0,12500
17,18,Jun-14,281.4,39.6,55.8,24400
18,19,Jul-14,69.2,20.5,18.3,11300
19,20,Ago-14,147.3,23.9,19.1,14600
20,21,Set-14,218.4,27.7,53.4,18000
21,22,Oct-14,237.4,5.1,23.5,12500
22,23,Nov-14,13.2,15.9,49.6,5600
23,24,Dic-14,228.3,16.9,26.2,15500
24,25,Ene-15,62.3,12.6,18.3,9700
25,26,Feb-15,262.9,3.5,19.5,12000
26,27,Mar-15,142.9,29.3,12.6,15000
27,28,Abr-15,240.1,16.7,22.9,15900
28,29,May-15,248.8,27.1,22.9,18900
29,30,Jun-15,70.6,16.0,40.8,10500
30,31,Jul-15,292.9,28.3,43.2,21400
31,32,Ago-15,112.9,17.4,38.6,11900
32,33,Set-15,97.2,1.5,30.0,9600
33,34,Oct-15,265.6,20.0,0.3,17400
34,35,Nov-15,95.7,1.4,7.4,9500
35,36,Dic-15,290.7,4.1,8.5,12800
36,37,Ene-16,266.9,43.8,5.0,25400
37,38,Feb-16,74.7,49.4,45.7,14700
38,39,Mar-16,43.1,26.7,35.1,10100
39,40,Abr-16,228.0,37.7,32.0,21500
40,41,May-16,202.5,22.3,31.6,16600
41,42,Jun-16,177.0,33.4,38.7,17100
42,43,Jul-16,293.6,27.7,1.8,20700
43,44,Ago-16,206.9,8.4,26.4,12900
44,45,Set-16,25.1,25.7,43.3,8500
45,46,Oct-16,175.1,22.5,31.5,14900
46,47,Nov-16,89.7,9.9,35.7,10600
47,48,Dic-16,239.9,41.5,18.5,23200
48,49,Ene-17,227.2,15.8,49.9,14800
49,50,Feb-17,66.9,11.7,36.8,9700
50,51,Mar-17,199.8,3.1,34.6,11400
51,52,Abr-17,100.4,9.6,3.6,10700
52,53,May-17,216.4,41.7,39.6,22600
53,54,Jun-17,182.6,46.2,58.7,21200
54,55,Jul-17,262.7,28.8,15.9,20200
55,56,Ago-17,198.9,49.4,60.0,23700
56,57,Set-17,7.3,28.1,41.4,5500
57,58,Oct-17,136.2,19.2,16.6,13200
58,59,Nov-17,210.8,49.6,37.7,23800
59,60,Dic-17,210.7,29.5,9.3,18400
60,61,Ene-18,53.5,2.0,21.4,8100
61,62,Feb-18,261.3,42.7,54.7,24200
62,63,Mar-18,239.3,15.5,27.3,15700
63,64,Abr-18,102.7,29.6,8.4,14000
64,65,May-18,131.1,42.8,28.9,18000
65,66,Jun-18,69.0,9.3,0.9,9300
66,67,Jul-18,31.5,24.6,2.2,9500
67,68,Ago-18,139.3,14.5,10.2,13400
68,69,Set-18,237.4,27.5,11.0,18900
69,70,Oct-18,216.8,43.9,27.2,22300
70,71,Nov-18,199.1,30.6,38.7,18300
