CODMES,CODPROD,DESC_PROD,UBICA,PRE_REG,PRE_OFE,PCT_DSCTO,UN_ESTIMADAS,UN_DEMANDADAS,TRAF_TDA_CLI,TIPO_CAMB,MAPE
201802,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,74,44.9,0.39,1105,751,140209,2.554,0.471
201803,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,74,49.9,0.33,751,736,137783,2.572,0.02
201805,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,46.9,0.38,736,1130,132480,2.594,0.349
201807,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,52.9,0.3,1130,512,144259,2.621,1.207
201809,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,52.9,0.3,512,470,144582,2.716,0.089
201811,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,44.9,0.41,470,1395,148618,2.775,0.663
201812,8019010,VELA PERFUMADA 3 MEDIANA,Cabecera de Gondola,76,33.9,0.55,1395,14192,144560,2.794,0.902
201901,8019010,VELA PERFUMADA 3 MEDIANA,Centro de Anaquel,76,37.9,0.5,14192,3418,149276,2.81,3.152
201902,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,52.9,0.3,3418,9,139074,2.772,378.778
201903,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,44.9,0.41,9,1562,139525,2.776,0.994
201904,8019010,VELA PERFUMADA 3 MEDIANA,Cabecera de Gondola,76,34.9,0.54,1562,15353,137034,2.771,0.898
201905,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,52.9,0.3,15353,737,138018,2.802,19.832
201906,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,52.9,0.3,737,790,131891,2.79,0.067
201909,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,76,52.9,0.3,790,461,116299,2.821,0.714
201910,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,80,42.9,0.46,461,619,118188,2.806,0.255
201912,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,80,54.9,0.31,619,689,119694,2.798,0.102
202001,8019010,VELA PERFUMADA 3 MEDIANA,Centro de Anaquel,80,34.95,0.56,689,2460,127615,2.81,0.72
202001,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,80,54.9,0.31,2460,243,127615,2.81,9.123
202002,8019010,VELA PERFUMADA 3 MEDIANA,Cabecera de Gondola,80,34.9,0.56,243,15745,118552,2.824,0.985
202003,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Bajo Anaquel,80,80,0,15745,196,129348,2.83,79.332
202004,8019010,VELA PERFUMADA 3 MEDIANA,Nivel Alto Anaquel,80,49.9,0.38,196,1234,132351,2.836,0.841
202005,8019010,VELA PERFUMADA 3 MEDIANA,Cabecera de Gondola,80,34.9,0.56,1234,15833,136865,2.842,0.922
